index,cid,smiles,hepatotoxicity,score,set
192,11626560,C[C@@H](Oc1c(N)ncc(-c2cn(C3CCNCC3)nc2)c1)c1c(Cl)ccc(F)c1Cl,True,3.0,TRAIN
193,6726,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,True,3.0,TRAIN
194,2895,CN(C)CCC=C1c2ccccc2C=Cc2ccccc12,True,3.0,TRAIN
195,2907,O=P1(N(CCCl)CCCl)NCCCO1,True,3.0,VALIDATION
196,6234,N[C@@H]1CONC1=O,False,3.0,TRAIN
197,2913,CN1CCC(=C2c3ccccc3C=Cc3ccccc23)CC1,True,3.0,VALIDATION
198,5284537,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,True,3.0,TEST
199,6058,NCCS,True,3.0,VALIDATION
200,5862,N[C@@H](CS)C(=O)O,True,3.0,TRAIN
201,6253,Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1,True,3.0,TRAIN
202,44462760,CC(C)(C)c1nc(-c2c(F)c(NS(=O)(=O)c3c(F)cccc3F)ccc2)c(-c2nc(N)ncc2)s1,False,3.0,TRAIN
203,135398738,CN(C)/N=N/c1c(C(N)=O)[nH]cn1,True,3.0,TRAIN
204,25154714,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,True,3.0,TRAIN
205,11511120,COc1c(NC(=O)/C=C/CN2CCCCC2)cc2c(Nc3cc(Cl)c(F)cc3)ncnc2c1,False,3.0,TRAIN
206,1727,Nc1ccncc1,False,3.0,VALIDATION
